Starting dataset generation. Output file: 'crtbp_natural_language_20260808_234158.jsonl'
Completed Trajectory 1/500 | Saved 648 steps | Cumulative: 648
Completed Trajectory 78/500 | Saved 616 steps | Cumulative: 21754
Completed Trajectory 79/500 | Saved 612 steps | Cumulative: 22366
Completed Trajectory 80/500 | Saved 36 steps | Cumulative: 22402
Completed Trajectory 81/500 | Saved 813 steps | Cumulative: 23215
Completed Trajectory 82/500 | Saved 46 steps | Cumulative: 23261
Completed Trajectory 83/500 | Saved 37 steps | Cumulative: 23298
Completed Trajectory 84/500 | Saved 822 steps | Cumulative: 24120
Completed Trajectory 85/500 | Saved 34 steps | Cumulative: 24154
Completed Trajectory 86/500 | Saved 321 steps | Cumulative: 24475
Completed Trajectory 87/500 | Saved 245 steps | Cumulative: 24720
Completed Trajectory 88/500 | Saved 34 steps | Cumulative: 24754
Completed Trajectory 89/500 | Saved 38 steps | Cumulative: 24792
Completed Trajectory 90/500 | Saved 829 steps | Cumulative: 25621
Completed Trajectory 91/500 | Saved 473 steps | Cumulative: 26094
Completed Trajectory 92/500 | Saved 32 steps | Cumulative: 26126
Completed Trajectory 93/500 | Saved 34 steps | Cumulative: 26160
Completed Trajectory 94/500 | Saved 795 steps | Cumulative: 26955
Completed Trajectory 95/500 | Saved 510 steps | Cumulative: 27465
Completed Trajectory 96/500 | Saved 183 steps | Cumulative: 27648
Completed Trajectory 97/500 | Saved 186 steps | Cumulative: 27834
Completed Trajectory 98/500 | Saved 41 steps | Cumulative: 27875
Completed Trajectory 99/500 | Saved 36 steps | Cumulative: 27911
Completed Trajectory 100/500 | Saved 272 steps | Cumulative: 28183
Completed Trajectory 101/500 | Saved 251 steps | Cumulative: 28434
Completed Trajectory 102/500 | Saved 500 steps | Cumulative: 28934
Completed Trajectory 103/500 | Saved 340 steps | Cumulative: 29274
Completed Trajectory 104/500 | Saved 36 steps | Cumulative: 29310
Completed Trajectory 105/500 | Saved 39 steps | Cumulative: 29349
Completed Trajectory 106/500 | Saved 833 steps | Cumulative: 30182
Completed Trajectory 107/500 | Saved 278 steps | Cumulative: 30460
Completed Trajectory 108/500 | Saved 252 steps | Cumulative: 30712
Completed Trajectory 109/500 | Saved 41 steps | Cumulative: 30753
Completed Trajectory 110/500 | Saved 34 steps | Cumulative: 30787
Completed Trajectory 111/500 | Saved 90 steps | Cumulative: 30877
Completed Trajectory 112/500 | Saved 182 steps | Cumulative: 31059
Completed Trajectory 113/500 | Saved 286 steps | Cumulative: 31345
Completed Trajectory 114/500 | Saved 979 steps | Cumulative: 32324
Completed Trajectory 115/500 | Saved 270 steps | Cumulative: 32594
Completed Trajectory 116/500 | Saved 39 steps | Cumulative: 32633
Completed Trajectory 117/500 | Saved 43 steps | Cumulative: 32676
Completed Trajectory 118/500 | Saved 34 steps | Cumulative: 32710
Completed Trajectory 119/500 | Saved 37 steps | Cumulative: 32747
Completed Trajectory 120/500 | Saved 983 steps | Cumulative: 33730
Completed Trajectory 121/500 | Saved 196 steps | Cumulative: 33926
Completed Trajectory 122/500 | Saved 333 steps | Cumulative: 34259
Completed Trajectory 123/500 | Saved 972 steps | Cumulative: 35231
Completed Trajectory 124/500 | Saved 40 steps | Cumulative: 35271
Completed Trajectory 125/500 | Saved 421 steps | Cumulative: 35692
Completed Trajectory 126/500 | Saved 41 steps | Cumulative: 35733
Completed Trajectory 127/500 | Saved 271 steps | Cumulative: 36004
Completed Trajectory 128/500 | Saved 41 steps | Cumulative: 36045
Completed Trajectory 129/500 | Saved 277 steps | Cumulative: 36322
Completed Trajectory 130/500 | Saved 388 steps | Cumulative: 36710
Completed Trajectory 131/500 | Saved 213 steps | Cumulative: 36923
Completed Trajectory 132/500 | Saved 983 steps | Cumulative: 37906
Completed Trajectory 133/500 | Saved 179 steps | Cumulative: 38085
Completed Trajectory 134/500 | Saved 239 steps | Cumulative: 38324
Completed Trajectory 135/500 | Saved 162 steps | Cumulative: 38486
Completed Trajectory 136/500 | Saved 167 steps | Cumulative: 38653
Completed Trajectory 137/500 | Saved 289 steps | Cumulative: 38942
Completed Trajectory 138/500 | Saved 214 steps | Cumulative: 39156
Completed Trajectory 139/500 | Saved 41 steps | Cumulative: 39197
Completed Trajectory 140/500 | Saved 37 steps | Cumulative: 39234
Completed Trajectory 141/500 | Saved 41 steps | Cumulative: 39275
Completed Trajectory 142/500 | Saved 35 steps | Cumulative: 39310
Completed Trajectory 143/500 | Saved 314 steps | Cumulative: 39624
Completed Trajectory 144/500 | Saved 200 steps | Cumulative: 39824
Completed Trajectory 145/500 | Saved 102 steps | Cumulative: 39926
Completed Trajectory 146/500 | Saved 987 steps | Cumulative: 40913
Completed Trajectory 147/500 | Saved 38 steps | Cumulative: 40951
Completed Trajectory 148/500 | Saved 39 steps | Cumulative: 40990
Completed Trajectory 149/500 | Saved 230 steps | Cumulative: 41220
Completed Trajectory 150/500 | Saved 342 steps | Cumulative: 41562
Completed Trajectory 151/500 | Saved 988 steps | Cumulative: 42550
Completed Trajectory 152/500 | Saved 37 steps | Cumulative: 42587
Completed Trajectory 153/500 | Saved 43 steps | Cumulative: 42630
Completed Trajectory 154/500 | Saved 30 steps | Cumulative: 42660
Completed Trajectory 155/500 | Saved 185 steps | Cumulative: 42845
Completed Trajectory 156/500 | Saved 992 steps | Cumulative: 43837
Completed Trajectory 157/500 | Saved 810 steps | Cumulative: 44647
Completed Trajectory 158/500 | Saved 34 steps | Cumulative: 44681
Completed Trajectory 159/500 | Saved 351 steps | Cumulative: 45032
Completed Trajectory 160/500 | Saved 119 steps | Cumulative: 45151
Completed Trajectory 161/500 | Saved 166 steps | Cumulative: 45317
Completed Trajectory 162/500 | Saved 285 steps | Cumulative: 45602
Completed Trajectory 163/500 | Saved 267 steps | Cumulative: 45869
Completed Trajectory 164/500 | Saved 590 steps | Cumulative: 46459
Completed Trajectory 165/500 | Saved 36 steps | Cumulative: 46495
Completed Trajectory 166/500 | Saved 333 steps | Cumulative: 46828
Completed Trajectory 167/500 | Saved 982 steps | Cumulative: 47810
Completed Trajectory 168/500 | Saved 148 steps | Cumulative: 47958
Completed Trajectory 169/500 | Saved 45 steps | Cumulative: 48003
Completed Trajectory 170/500 | Saved 901 steps | Cumulative: 48904
Completed Trajectory 171/500 | Saved 33 steps | Cumulative: 48937
Completed Trajectory 172/500 | Saved 179 steps | Cumulative: 49116
Completed Trajectory 173/500 | Saved 222 steps | Cumulative: 49338
Completed Trajectory 174/500 | Saved 208 steps | Cumulative: 49546
Completed Trajectory 175/500 | Saved 238 steps | Cumulative: 49784
Completed Trajectory 176/500 | Saved 369 steps | Cumulative: 50153
Completed Trajectory 177/500 | Saved 524 steps | Cumulative: 50677
Completed Trajectory 178/500 | Saved 418 steps | Cumulative: 51095
Completed Trajectory 179/500 | Saved 182 steps | Cumulative: 51277
Completed Trajectory 180/500 | Saved 337 steps | Cumulative: 51614
Completed Trajectory 181/500 | Saved 979 steps | Cumulative: 52593
Completed Trajectory 182/500 | Saved 977 steps | Cumulative: 53570
Completed Trajectory 183/500 | Saved 259 steps | Cumulative: 53829
Completed Trajectory 184/500 | Saved 41 steps | Cumulative: 53870
Completed Trajectory 185/500 | Saved 301 steps | Cumulative: 54171
Completed Trajectory 186/500 | Saved 210 steps | Cumulative: 54381
Completed Trajectory 187/500 | Saved 352 steps | Cumulative: 54733
Completed Trajectory 188/500 | Saved 511 steps | Cumulative: 55244
Completed Trajectory 189/500 | Saved 983 steps | Cumulative: 56227
Completed Trajectory 190/500 | Saved 261 steps | Cumulative: 56488
Completed Trajectory 191/500 | Saved 989 steps | Cumulative: 57477
Completed Trajectory 192/500 | Saved 278 steps | Cumulative: 57755
Completed Trajectory 193/500 | Saved 986 steps | Cumulative: 58741
Completed Trajectory 194/500 | Saved 921 steps | Cumulative: 59662
Completed Trajectory 195/500 | Saved 987 steps | Cumulative: 60649
Completed Trajectory 196/500 | Saved 47 steps | Cumulative: 60696
Completed Trajectory 197/500 | Saved 39 steps | Cumulative: 60735
Completed Trajectory 198/500 | Saved 43 steps | Cumulative: 60778
Completed Trajectory 199/500 | Saved 39 steps | Cumulative: 60817
Completed Trajectory 200/500 | Saved 861 steps | Cumulative: 61678
Completed Trajectory 201/500 | Saved 33 steps | Cumulative: 61711
Completed Trajectory 202/500 | Saved 144 steps | Cumulative: 61855
Completed Trajectory 203/500 | Saved 54 steps | Cumulative: 61909
Completed Trajectory 204/500 | Saved 157 steps | Cumulative: 62066
Completed Trajectory 205/500 | Saved 120 steps | Cumulative: 62186
Completed Trajectory 206/500 | Saved 110 steps | Cumulative: 62296
Completed Trajectory 207/500 | Saved 34 steps | Cumulative: 62330
Completed Trajectory 208/500 | Saved 150 steps | Cumulative: 62480
Completed Trajectory 209/500 | Saved 970 steps | Cumulative: 63450
Completed Trajectory 210/500 | Saved 324 steps | Cumulative: 63774
Completed Trajectory 211/500 | Saved 198 steps | Cumulative: 63972
Completed Trajectory 212/500 | Saved 37 steps | Cumulative: 64009
Completed Trajectory 213/500 | Saved 39 steps | Cumulative: 64048
Completed Trajectory 214/500 | Saved 126 steps | Cumulative: 64174
Completed Trajectory 215/500 | Saved 39 steps | Cumulative: 64213
Completed Trajectory 216/500 | Saved 987 steps | Cumulative: 65200
Completed Trajectory 217/500 | Saved 270 steps | Cumulative: 65470
Completed Trajectory 218/500 | Saved 337 steps | Cumulative: 65807
Completed Trajectory 219/500 | Saved 34 steps | Cumulative: 65841
Completed Trajectory 220/500 | Saved 39 steps | Cumulative: 65880
Completed Trajectory 221/500 | Saved 33 steps | Cumulative: 65913
Completed Trajectory 222/500 | Saved 37 steps | Cumulative: 65950
Completed Trajectory 223/500 | Saved 986 steps | Cumulative: 66936
Completed Trajectory 224/500 | Saved 979 steps | Cumulative: 67915
Completed Trajectory 225/500 | Saved 989 steps | Cumulative: 68904
Completed Trajectory 226/500 | Saved 135 steps | Cumulative: 69039
Completed Trajectory 227/500 | Saved 746 steps | Cumulative: 69785
Completed Trajectory 228/500 | Saved 971 steps | Cumulative: 70756
Completed Trajectory 229/500 | Saved 178 steps | Cumulative: 70934
Completed Trajectory 230/500 | Saved 403 steps | Cumulative: 71337
Completed Trajectory 231/500 | Saved 38 steps | Cumulative: 71375
Completed Trajectory 232/500 | Saved 482 steps | Cumulative: 71857
Completed Trajectory 233/500 | Saved 32 steps | Cumulative: 71889
Completed Trajectory 234/500 | Saved 41 steps | Cumulative: 71930
Completed Trajectory 235/500 | Saved 31 steps | Cumulative: 71961
Completed Trajectory 236/500 | Saved 42 steps | Cumulative: 72003
Completed Trajectory 237/500 | Saved 272 steps | Cumulative: 72275
Completed Trajectory 238/500 | Saved 865 steps | Cumulative: 73140
Completed Trajectory 239/500 | Saved 38 steps | Cumulative: 73178
Completed Trajectory 240/500 | Saved 201 steps | Cumulative: 73379
Completed Trajectory 241/500 | Saved 40 steps | Cumulative: 73419
Completed Trajectory 242/500 | Saved 100 steps | Cumulative: 73519
Completed Trajectory 243/500 | Saved 42 steps | Cumulative: 73561
Completed Trajectory 244/500 | Saved 328 steps | Cumulative: 73889
Completed Trajectory 245/500 | Saved 345 steps | Cumulative: 74234
Completed Trajectory 246/500 | Saved 46 steps | Cumulative: 74280
Completed Trajectory 247/500 | Saved 37 steps | Cumulative: 74317
Completed Trajectory 248/500 | Saved 176 steps | Cumulative: 74493
Completed Trajectory 249/500 | Saved 41 steps | Cumulative: 74534
Completed Trajectory 250/500 | Saved 994 steps | Cumulative: 75528
Completed Trajectory 251/500 | Saved 310 steps | Cumulative: 75838
Completed Trajectory 252/500 | Saved 974 steps | Cumulative: 76812
Completed Trajectory 253/500 | Saved 354 steps | Cumulative: 77166
Completed Trajectory 254/500 | Saved 46 steps | Cumulative: 77212
Completed Trajectory 255/500 | Saved 36 steps | Cumulative: 77248
Completed Trajectory 256/500 | Saved 106 steps | Cumulative: 77354
Completed Trajectory 257/500 | Saved 35 steps | Cumulative: 77389
Completed Trajectory 258/500 | Saved 35 steps | Cumulative: 77424
Completed Trajectory 259/500 | Saved 187 steps | Cumulative: 77611
Completed Trajectory 260/500 | Saved 189 steps | Cumulative: 77800
Completed Trajectory 261/500 | Saved 800 steps | Cumulative: 78600
Completed Trajectory 262/500 | Saved 49 steps | Cumulative: 78649
Completed Trajectory 263/500 | Saved 986 steps | Cumulative: 79635
Completed Trajectory 264/500 | Saved 30 steps | Cumulative: 79665
Completed Trajectory 265/500 | Saved 327 steps | Cumulative: 79992
Completed Trajectory 266/500 | Saved 900 steps | Cumulative: 80892
Completed Trajectory 267/500 | Saved 34 steps | Cumulative: 80926
Completed Trajectory 268/500 | Saved 228 steps | Cumulative: 81154
Completed Trajectory 269/500 | Saved 190 steps | Cumulative: 81344
Completed Trajectory 270/500 | Saved 985 steps | Cumulative: 82329
Completed Trajectory 271/500 | Saved 33 steps | Cumulative: 82362
Completed Trajectory 272/500 | Saved 848 steps | Cumulative: 83210
Completed Trajectory 273/500 | Saved 984 steps | Cumulative: 84194
Completed Trajectory 274/500 | Saved 32 steps | Cumulative: 84226
Completed Trajectory 275/500 | Saved 38 steps | Cumulative: 84264
Completed Trajectory 276/500 | Saved 515 steps | Cumulative: 84779
Completed Trajectory 277/500 | Saved 365 steps | Cumulative: 85144
Completed Trajectory 278/500 | Saved 983 steps | Cumulative: 86127
Completed Trajectory 279/500 | Saved 748 steps | Cumulative: 86875
Completed Trajectory 280/500 | Saved 36 steps | Cumulative: 86911
Completed Trajectory 281/500 | Saved 987 steps | Cumulative: 87898
Completed Trajectory 282/500 | Saved 986 steps | Cumulative: 88884
Completed Trajectory 283/500 | Saved 987 steps | Cumulative: 89871
Completed Trajectory 284/500 | Saved 128 steps | Cumulative: 89999
Completed Trajectory 285/500 | Saved 240 steps | Cumulative: 90239
Completed Trajectory 286/500 | Saved 27 steps | Cumulative: 90266
Completed Trajectory 287/500 | Saved 557 steps | Cumulative: 90823
Completed Trajectory 288/500 | Saved 323 steps | Cumulative: 91146
Completed Trajectory 289/500 | Saved 987 steps | Cumulative: 92133
Completed Trajectory 290/500 | Saved 985 steps | Cumulative: 93118
Completed Trajectory 291/500 | Saved 376 steps | Cumulative: 93494
Completed Trajectory 292/500 | Saved 234 steps | Cumulative: 93728
Completed Trajectory 293/500 | Saved 185 steps | Cumulative: 93913
Completed Trajectory 294/500 | Saved 34 steps | Cumulative: 93947
Completed Trajectory 295/500 | Saved 35 steps | Cumulative: 93982
Completed Trajectory 296/500 | Saved 240 steps | Cumulative: 94222
Completed Trajectory 297/500 | Saved 46 steps | Cumulative: 94268
Completed Trajectory 298/500 | Saved 37 steps | Cumulative: 94305
Completed Trajectory 299/500 | Saved 985 steps | Cumulative: 95290
Completed Trajectory 300/500 | Saved 269 steps | Cumulative: 95559
Completed Trajectory 301/500 | Saved 482 steps | Cumulative: 96041
Completed Trajectory 302/500 | Saved 350 steps | Cumulative: 96391
Completed Trajectory 303/500 | Saved 33 steps | Cumulative: 96424
Completed Trajectory 304/500 | Saved 107 steps | Cumulative: 96531
Completed Trajectory 305/500 | Saved 823 steps | Cumulative: 97354
Completed Trajectory 306/500 | Saved 38 steps | Cumulative: 97392
Completed Trajectory 307/500 | Saved 35 steps | Cumulative: 97427
Completed Trajectory 308/500 | Saved 465 steps | Cumulative: 97892
Completed Trajectory 309/500 | Saved 228 steps | Cumulative: 98120
Completed Trajectory 310/500 | Saved 35 steps | Cumulative: 98155
Completed Trajectory 311/500 | Saved 987 steps | Cumulative: 99142
Completed Trajectory 312/500 | Saved 894 steps | Cumulative: 100036
Completed Trajectory 313/500 | Saved 239 steps | Cumulative: 100275
Completed Trajectory 314/500 | Saved 482 steps | Cumulative: 100757
Completed Trajectory 315/500 | Saved 255 steps | Cumulative: 101012
Completed Trajectory 316/500 | Saved 983 steps | Cumulative: 101995
Completed Trajectory 317/500 | Saved 819 steps | Cumulative: 102814
Completed Trajectory 318/500 | Saved 37 steps | Cumulative: 102851
Completed Trajectory 319/500 | Saved 769 steps | Cumulative: 103620
Completed Trajectory 320/500 | Saved 40 steps | Cumulative: 103660
Completed Trajectory 321/500 | Saved 259 steps | Cumulative: 103919
Completed Trajectory 322/500 | Saved 841 steps | Cumulative: 104760
Completed Trajectory 323/500 | Saved 130 steps | Cumulative: 104890
Completed Trajectory 324/500 | Saved 378 steps | Cumulative: 105268
Completed Trajectory 325/500 | Saved 985 steps | Cumulative: 106253
Completed Trajectory 326/500 | Saved 130 steps | Cumulative: 106383
Completed Trajectory 327/500 | Saved 651 steps | Cumulative: 107034
Completed Trajectory 328/500 | Saved 500 steps | Cumulative: 107534
Completed Trajectory 329/500 | Saved 34 steps | Cumulative: 107568
Completed Trajectory 330/500 | Saved 663 steps | Cumulative: 108231
Completed Trajectory 331/500 | Saved 198 steps | Cumulative: 108429
Completed Trajectory 332/500 | Saved 987 steps | Cumulative: 109416
Completed Trajectory 333/500 | Saved 38 steps | Cumulative: 109454
Completed Trajectory 334/500 | Saved 809 steps | Cumulative: 110263
Completed Trajectory 335/500 | Saved 35 steps | Cumulative: 110298
Completed Trajectory 336/500 | Saved 574 steps | Cumulative: 110872
Completed Trajectory 337/500 | Saved 37 steps | Cumulative: 110909
Completed Trajectory 338/500 | Saved 987 steps | Cumulative: 111896
Completed Trajectory 339/500 | Saved 885 steps | Cumulative: 112781
Completed Trajectory 340/500 | Saved 163 steps | Cumulative: 112944
Completed Trajectory 341/500 | Saved 44 steps | Cumulative: 112988
Completed Trajectory 342/500 | Saved 39 steps | Cumulative: 113027
Completed Trajectory 343/500 | Saved 43 steps | Cumulative: 113070
Completed Trajectory 344/500 | Saved 202 steps | Cumulative: 113272
Completed Trajectory 345/500 | Saved 404 steps | Cumulative: 113676
Completed Trajectory 346/500 | Saved 37 steps | Cumulative: 113713
Completed Trajectory 347/500 | Saved 33 steps | Cumulative: 113746
Completed Trajectory 348/500 | Saved 35 steps | Cumulative: 113781
Completed Trajectory 349/500 | Saved 103 steps | Cumulative: 113884
Completed Trajectory 350/500 | Saved 329 steps | Cumulative: 114213
Completed Trajectory 351/500 | Saved 176 steps | Cumulative: 114389
Completed Trajectory 352/500 | Saved 900 steps | Cumulative: 115289
Completed Trajectory 353/500 | Saved 37 steps | Cumulative: 115326
Completed Trajectory 354/500 | Saved 383 steps | Cumulative: 115709
Completed Trajectory 355/500 | Saved 335 steps | Cumulative: 116044
Completed Trajectory 356/500 | Saved 45 steps | Cumulative: 116089
Completed Trajectory 357/500 | Saved 844 steps | Cumulative: 116933
Completed Trajectory 358/500 | Saved 285 steps | Cumulative: 117218
Completed Trajectory 359/500 | Saved 817 steps | Cumulative: 118035
Completed Trajectory 360/500 | Saved 291 steps | Cumulative: 118326
Completed Trajectory 361/500 | Saved 198 steps | Cumulative: 118524
Completed Trajectory 362/500 | Saved 254 steps | Cumulative: 118778
Completed Trajectory 363/500 | Saved 210 steps | Cumulative: 118988
Completed Trajectory 364/500 | Saved 40 steps | Cumulative: 119028
Completed Trajectory 365/500 | Saved 36 steps | Cumulative: 119064
Completed Trajectory 366/500 | Saved 34 steps | Cumulative: 119098
Completed Trajectory 367/500 | Saved 35 steps | Cumulative: 119133
Completed Trajectory 368/500 | Saved 779 steps | Cumulative: 119912
Completed Trajectory 369/500 | Saved 988 steps | Cumulative: 120900
Completed Trajectory 370/500 | Saved 39 steps | Cumulative: 120939
Completed Trajectory 371/500 | Saved 36 steps | Cumulative: 120975
Completed Trajectory 372/500 | Saved 36 steps | Cumulative: 121011
Completed Trajectory 373/500 | Saved 41 steps | Cumulative: 121052
Completed Trajectory 374/500 | Saved 230 steps | Cumulative: 121282
Completed Trajectory 375/500 | Saved 817 steps | Cumulative: 122099
Completed Trajectory 376/500 | Saved 177 steps | Cumulative: 122276
Completed Trajectory 377/500 | Saved 33 steps | Cumulative: 122309
Completed Trajectory 378/500 | Saved 40 steps | Cumulative: 122349
Completed Trajectory 379/500 | Saved 882 steps | Cumulative: 123231
Completed Trajectory 380/500 | Saved 40 steps | Cumulative: 123271
Completed Trajectory 381/500 | Saved 512 steps | Cumulative: 123783
Completed Trajectory 382/500 | Saved 264 steps | Cumulative: 124047
Completed Trajectory 383/500 | Saved 37 steps | Cumulative: 124084
Completed Trajectory 384/500 | Saved 37 steps | Cumulative: 124121
Completed Trajectory 385/500 | Saved 37 steps | Cumulative: 124158
Completed Trajectory 386/500 | Saved 38 steps | Cumulative: 124196
Completed Trajectory 387/500 | Saved 38 steps | Cumulative: 124234
Completed Trajectory 388/500 | Saved 164 steps | Cumulative: 124398
Completed Trajectory 389/500 | Saved 287 steps | Cumulative: 124685
Completed Trajectory 390/500 | Saved 39 steps | Cumulative: 124724
Completed Trajectory 391/500 | Saved 447 steps | Cumulative: 125171
Completed Trajectory 392/500 | Saved 38 steps | Cumulative: 125209
Completed Trajectory 393/500 | Saved 453 steps | Cumulative: 125662
Completed Trajectory 394/500 | Saved 42 steps | Cumulative: 125704
Completed Trajectory 395/500 | Saved 190 steps | Cumulative: 125894
Completed Trajectory 396/500 | Saved 296 steps | Cumulative: 126190
Completed Trajectory 397/500 | Saved 980 steps | Cumulative: 127170
Completed Trajectory 398/500 | Saved 811 steps | Cumulative: 127981
Completed Trajectory 399/500 | Saved 43 steps | Cumulative: 128024
Completed Trajectory 400/500 | Saved 311 steps | Cumulative: 128335
Completed Trajectory 401/500 | Saved 34 steps | Cumulative: 128369
Completed Trajectory 402/500 | Saved 37 steps | Cumulative: 128406
Completed Trajectory 403/500 | Saved 241 steps | Cumulative: 128647
Completed Trajectory 404/500 | Saved 37 steps | Cumulative: 128684
Completed Trajectory 405/500 | Saved 390 steps | Cumulative: 129074
Completed Trajectory 406/500 | Saved 133 steps | Cumulative: 129207
Completed Trajectory 407/500 | Saved 35 steps | Cumulative: 129242
Completed Trajectory 408/500 | Saved 39 steps | Cumulative: 129281
Completed Trajectory 409/500 | Saved 126 steps | Cumulative: 129407
Completed Trajectory 410/500 | Saved 34 steps | Cumulative: 129441
Completed Trajectory 411/500 | Saved 41 steps | Cumulative: 129482
Completed Trajectory 412/500 | Saved 225 steps | Cumulative: 129707
Completed Trajectory 413/500 | Saved 290 steps | Cumulative: 129997
Completed Trajectory 414/500 | Saved 36 steps | Cumulative: 130033
Completed Trajectory 415/500 | Saved 44 steps | Cumulative: 130077
Completed Trajectory 416/500 | Saved 33 steps | Cumulative: 130110
Completed Trajectory 417/500 | Saved 215 steps | Cumulative: 130325
Completed Trajectory 418/500 | Saved 370 steps | Cumulative: 130695
Completed Trajectory 419/500 | Saved 36 steps | Cumulative: 130731
Completed Trajectory 420/500 | Saved 200 steps | Cumulative: 130931
Completed Trajectory 421/500 | Saved 174 steps | Cumulative: 131105
