Starting dataset generation. Output file: 'crtbp_natural_language_20260804_035216.jsonl'
Completed Trajectory 1/500 | Saved 196 steps | Cumulative: 196
Completed Trajectory 53/500 | Saved 985 steps | Cumulative: 17209
Completed Trajectory 54/500 | Saved 986 steps | Cumulative: 18195
Completed Trajectory 55/500 | Saved 37 steps | Cumulative: 18232
Completed Trajectory 56/500 | Saved 517 steps | Cumulative: 18749
Completed Trajectory 57/500 | Saved 38 steps | Cumulative: 18787
Completed Trajectory 58/500 | Saved 38 steps | Cumulative: 18825
Completed Trajectory 59/500 | Saved 157 steps | Cumulative: 18982
Completed Trajectory 60/500 | Saved 34 steps | Cumulative: 19016
Completed Trajectory 61/500 | Saved 33 steps | Cumulative: 19049
Completed Trajectory 62/500 | Saved 381 steps | Cumulative: 19430
Completed Trajectory 63/500 | Saved 194 steps | Cumulative: 19624
Completed Trajectory 64/500 | Saved 38 steps | Cumulative: 19662
Completed Trajectory 65/500 | Saved 981 steps | Cumulative: 20643
Completed Trajectory 66/500 | Saved 107 steps | Cumulative: 20750
Completed Trajectory 67/500 | Saved 103 steps | Cumulative: 20853
Completed Trajectory 68/500 | Saved 34 steps | Cumulative: 20887
Completed Trajectory 69/500 | Saved 973 steps | Cumulative: 21860
Completed Trajectory 70/500 | Saved 618 steps | Cumulative: 22478
Completed Trajectory 71/500 | Saved 259 steps | Cumulative: 22737
Completed Trajectory 72/500 | Saved 588 steps | Cumulative: 23325
Completed Trajectory 73/500 | Saved 315 steps | Cumulative: 23640
Completed Trajectory 74/500 | Saved 291 steps | Cumulative: 23931
Completed Trajectory 75/500 | Saved 35 steps | Cumulative: 23966
Completed Trajectory 76/500 | Saved 39 steps | Cumulative: 24005
Completed Trajectory 77/500 | Saved 35 steps | Cumulative: 24040
Completed Trajectory 78/500 | Saved 871 steps | Cumulative: 24911
Completed Trajectory 79/500 | Saved 284 steps | Cumulative: 25195
Completed Trajectory 80/500 | Saved 31 steps | Cumulative: 25226
Completed Trajectory 81/500 | Saved 300 steps | Cumulative: 25526
Completed Trajectory 82/500 | Saved 988 steps | Cumulative: 26514
Completed Trajectory 83/500 | Saved 134 steps | Cumulative: 26648
Completed Trajectory 84/500 | Saved 350 steps | Cumulative: 26998
Completed Trajectory 85/500 | Saved 221 steps | Cumulative: 27219
Completed Trajectory 86/500 | Saved 39 steps | Cumulative: 27258
Completed Trajectory 87/500 | Saved 300 steps | Cumulative: 27558
Completed Trajectory 88/500 | Saved 37 steps | Cumulative: 27595
Completed Trajectory 89/500 | Saved 235 steps | Cumulative: 27830
Completed Trajectory 90/500 | Saved 37 steps | Cumulative: 27867
Completed Trajectory 91/500 | Saved 740 steps | Cumulative: 28607
Completed Trajectory 92/500 | Saved 193 steps | Cumulative: 28800
Completed Trajectory 93/500 | Saved 181 steps | Cumulative: 28981
Completed Trajectory 94/500 | Saved 151 steps | Cumulative: 29132
Completed Trajectory 95/500 | Saved 41 steps | Cumulative: 29173
Completed Trajectory 96/500 | Saved 293 steps | Cumulative: 29466
Completed Trajectory 97/500 | Saved 984 steps | Cumulative: 30450
Completed Trajectory 98/500 | Saved 128 steps | Cumulative: 30578
Completed Trajectory 99/500 | Saved 983 steps | Cumulative: 31561
Completed Trajectory 100/500 | Saved 38 steps | Cumulative: 31599
Completed Trajectory 101/500 | Saved 544 steps | Cumulative: 32143
Completed Trajectory 102/500 | Saved 36 steps | Cumulative: 32179
Completed Trajectory 103/500 | Saved 984 steps | Cumulative: 33163
Completed Trajectory 104/500 | Saved 39 steps | Cumulative: 33202
Completed Trajectory 105/500 | Saved 983 steps | Cumulative: 34185
Completed Trajectory 106/500 | Saved 499 steps | Cumulative: 34684
Completed Trajectory 107/500 | Saved 51 steps | Cumulative: 34735
Completed Trajectory 108/500 | Saved 37 steps | Cumulative: 34772
Completed Trajectory 109/500 | Saved 326 steps | Cumulative: 35098
Completed Trajectory 110/500 | Saved 38 steps | Cumulative: 35136
Completed Trajectory 111/500 | Saved 253 steps | Cumulative: 35389
Completed Trajectory 112/500 | Saved 983 steps | Cumulative: 36372
Completed Trajectory 113/500 | Saved 43 steps | Cumulative: 36415
Completed Trajectory 114/500 | Saved 36 steps | Cumulative: 36451
Completed Trajectory 115/500 | Saved 45 steps | Cumulative: 36496
Completed Trajectory 116/500 | Saved 34 steps | Cumulative: 36530
Completed Trajectory 117/500 | Saved 222 steps | Cumulative: 36752
Completed Trajectory 118/500 | Saved 859 steps | Cumulative: 37611
Completed Trajectory 119/500 | Saved 33 steps | Cumulative: 37644
Completed Trajectory 120/500 | Saved 393 steps | Cumulative: 38037
Completed Trajectory 121/500 | Saved 35 steps | Cumulative: 38072
Completed Trajectory 122/500 | Saved 914 steps | Cumulative: 38986
Completed Trajectory 123/500 | Saved 35 steps | Cumulative: 39021
Completed Trajectory 124/500 | Saved 34 steps | Cumulative: 39055
Completed Trajectory 125/500 | Saved 34 steps | Cumulative: 39089
Completed Trajectory 126/500 | Saved 37 steps | Cumulative: 39126
Completed Trajectory 127/500 | Saved 245 steps | Cumulative: 39371
Completed Trajectory 128/500 | Saved 520 steps | Cumulative: 39891
Completed Trajectory 129/500 | Saved 716 steps | Cumulative: 40607
Completed Trajectory 130/500 | Saved 356 steps | Cumulative: 40963
Completed Trajectory 131/500 | Saved 33 steps | Cumulative: 40996
Completed Trajectory 132/500 | Saved 34 steps | Cumulative: 41030
Completed Trajectory 133/500 | Saved 837 steps | Cumulative: 41867
Completed Trajectory 134/500 | Saved 47 steps | Cumulative: 41914
Completed Trajectory 135/500 | Saved 987 steps | Cumulative: 42901
Completed Trajectory 136/500 | Saved 35 steps | Cumulative: 42936
Completed Trajectory 137/500 | Saved 227 steps | Cumulative: 43163
Completed Trajectory 138/500 | Saved 255 steps | Cumulative: 43418
Completed Trajectory 139/500 | Saved 758 steps | Cumulative: 44176
Completed Trajectory 140/500 | Saved 236 steps | Cumulative: 44412
Completed Trajectory 141/500 | Saved 41 steps | Cumulative: 44453
Completed Trajectory 142/500 | Saved 309 steps | Cumulative: 44762
Completed Trajectory 143/500 | Saved 238 steps | Cumulative: 45000
Completed Trajectory 144/500 | Saved 36 steps | Cumulative: 45036
Completed Trajectory 145/500 | Saved 227 steps | Cumulative: 45263
Completed Trajectory 146/500 | Saved 231 steps | Cumulative: 45494
Completed Trajectory 147/500 | Saved 225 steps | Cumulative: 45719
Completed Trajectory 148/500 | Saved 985 steps | Cumulative: 46704
Completed Trajectory 149/500 | Saved 987 steps | Cumulative: 47691
Completed Trajectory 150/500 | Saved 32 steps | Cumulative: 47723
Completed Trajectory 151/500 | Saved 38 steps | Cumulative: 47761
Completed Trajectory 152/500 | Saved 467 steps | Cumulative: 48228
Completed Trajectory 153/500 | Saved 34 steps | Cumulative: 48262
Completed Trajectory 154/500 | Saved 991 steps | Cumulative: 49253
Completed Trajectory 155/500 | Saved 189 steps | Cumulative: 49442
Completed Trajectory 156/500 | Saved 40 steps | Cumulative: 49482
Completed Trajectory 157/500 | Saved 44 steps | Cumulative: 49526
Completed Trajectory 158/500 | Saved 175 steps | Cumulative: 49701
Completed Trajectory 159/500 | Saved 41 steps | Cumulative: 49742
Completed Trajectory 160/500 | Saved 36 steps | Cumulative: 49778
Completed Trajectory 161/500 | Saved 378 steps | Cumulative: 50156
Completed Trajectory 162/500 | Saved 263 steps | Cumulative: 50419
Completed Trajectory 163/500 | Saved 800 steps | Cumulative: 51219
Completed Trajectory 164/500 | Saved 982 steps | Cumulative: 52201
Completed Trajectory 165/500 | Saved 38 steps | Cumulative: 52239
Completed Trajectory 166/500 | Saved 185 steps | Cumulative: 52424
Completed Trajectory 167/500 | Saved 38 steps | Cumulative: 52462
Completed Trajectory 168/500 | Saved 343 steps | Cumulative: 52805
Completed Trajectory 169/500 | Saved 229 steps | Cumulative: 53034
Completed Trajectory 170/500 | Saved 270 steps | Cumulative: 53304
Completed Trajectory 171/500 | Saved 268 steps | Cumulative: 53572
Completed Trajectory 172/500 | Saved 646 steps | Cumulative: 54218
Completed Trajectory 173/500 | Saved 163 steps | Cumulative: 54381
Completed Trajectory 174/500 | Saved 354 steps | Cumulative: 54735
Completed Trajectory 175/500 | Saved 199 steps | Cumulative: 54934
Completed Trajectory 176/500 | Saved 156 steps | Cumulative: 55090
Completed Trajectory 177/500 | Saved 39 steps | Cumulative: 55129
Completed Trajectory 178/500 | Saved 38 steps | Cumulative: 55167
Completed Trajectory 179/500 | Saved 153 steps | Cumulative: 55320
Completed Trajectory 180/500 | Saved 187 steps | Cumulative: 55507
Completed Trajectory 181/500 | Saved 968 steps | Cumulative: 56475
Completed Trajectory 182/500 | Saved 282 steps | Cumulative: 56757
Completed Trajectory 183/500 | Saved 277 steps | Cumulative: 57034
Completed Trajectory 184/500 | Saved 969 steps | Cumulative: 58003
Completed Trajectory 185/500 | Saved 38 steps | Cumulative: 58041
Completed Trajectory 186/500 | Saved 36 steps | Cumulative: 58077
Completed Trajectory 187/500 | Saved 122 steps | Cumulative: 58199
Completed Trajectory 188/500 | Saved 275 steps | Cumulative: 58474
Completed Trajectory 189/500 | Saved 595 steps | Cumulative: 59069
Completed Trajectory 190/500 | Saved 248 steps | Cumulative: 59317
Completed Trajectory 191/500 | Saved 33 steps | Cumulative: 59350
Completed Trajectory 192/500 | Saved 405 steps | Cumulative: 59755
Completed Trajectory 193/500 | Saved 38 steps | Cumulative: 59793
Completed Trajectory 194/500 | Saved 211 steps | Cumulative: 60004
Completed Trajectory 195/500 | Saved 985 steps | Cumulative: 60989
Completed Trajectory 196/500 | Saved 35 steps | Cumulative: 61024
Completed Trajectory 197/500 | Saved 985 steps | Cumulative: 62009
Completed Trajectory 198/500 | Saved 369 steps | Cumulative: 62378
Completed Trajectory 199/500 | Saved 277 steps | Cumulative: 62655
Completed Trajectory 200/500 | Saved 36 steps | Cumulative: 62691
Completed Trajectory 201/500 | Saved 35 steps | Cumulative: 62726
Completed Trajectory 202/500 | Saved 251 steps | Cumulative: 62977
Completed Trajectory 203/500 | Saved 987 steps | Cumulative: 63964
Completed Trajectory 204/500 | Saved 286 steps | Cumulative: 64250
Completed Trajectory 205/500 | Saved 226 steps | Cumulative: 64476
Completed Trajectory 206/500 | Saved 678 steps | Cumulative: 65154
Completed Trajectory 207/500 | Saved 176 steps | Cumulative: 65330
Completed Trajectory 208/500 | Saved 36 steps | Cumulative: 65366
Completed Trajectory 209/500 | Saved 326 steps | Cumulative: 65692
Completed Trajectory 210/500 | Saved 37 steps | Cumulative: 65729
Completed Trajectory 211/500 | Saved 41 steps | Cumulative: 65770
Completed Trajectory 212/500 | Saved 193 steps | Cumulative: 65963
Completed Trajectory 213/500 | Saved 221 steps | Cumulative: 66184
Completed Trajectory 214/500 | Saved 739 steps | Cumulative: 66923
Completed Trajectory 215/500 | Saved 208 steps | Cumulative: 67131
Completed Trajectory 216/500 | Saved 739 steps | Cumulative: 67870
Completed Trajectory 217/500 | Saved 183 steps | Cumulative: 68053
Completed Trajectory 218/500 | Saved 180 steps | Cumulative: 68233
Completed Trajectory 219/500 | Saved 989 steps | Cumulative: 69222
Completed Trajectory 220/500 | Saved 491 steps | Cumulative: 69713
Completed Trajectory 221/500 | Saved 178 steps | Cumulative: 69891
Completed Trajectory 222/500 | Saved 40 steps | Cumulative: 69931
Completed Trajectory 223/500 | Saved 40 steps | Cumulative: 69971
Completed Trajectory 224/500 | Saved 36 steps | Cumulative: 70007
Completed Trajectory 225/500 | Saved 989 steps | Cumulative: 70996
Completed Trajectory 226/500 | Saved 123 steps | Cumulative: 71119
Completed Trajectory 227/500 | Saved 303 steps | Cumulative: 71422
Completed Trajectory 228/500 | Saved 37 steps | Cumulative: 71459
Completed Trajectory 229/500 | Saved 988 steps | Cumulative: 72447
Completed Trajectory 230/500 | Saved 546 steps | Cumulative: 72993
Completed Trajectory 231/500 | Saved 745 steps | Cumulative: 73738
Completed Trajectory 232/500 | Saved 142 steps | Cumulative: 73880
Completed Trajectory 233/500 | Saved 987 steps | Cumulative: 74867
Completed Trajectory 234/500 | Saved 226 steps | Cumulative: 75093
Completed Trajectory 235/500 | Saved 988 steps | Cumulative: 76081
Completed Trajectory 236/500 | Saved 39 steps | Cumulative: 76120
Completed Trajectory 237/500 | Saved 355 steps | Cumulative: 76475
Completed Trajectory 238/500 | Saved 986 steps | Cumulative: 77461
Completed Trajectory 239/500 | Saved 221 steps | Cumulative: 77682
Completed Trajectory 240/500 | Saved 54 steps | Cumulative: 77736
Completed Trajectory 241/500 | Saved 41 steps | Cumulative: 77777
Completed Trajectory 242/500 | Saved 212 steps | Cumulative: 77989
Completed Trajectory 243/500 | Saved 34 steps | Cumulative: 78023
Completed Trajectory 244/500 | Saved 94 steps | Cumulative: 78117
Completed Trajectory 245/500 | Saved 813 steps | Cumulative: 78930
Completed Trajectory 246/500 | Saved 37 steps | Cumulative: 78967
Completed Trajectory 247/500 | Saved 175 steps | Cumulative: 79142
Completed Trajectory 248/500 | Saved 986 steps | Cumulative: 80128
Completed Trajectory 249/500 | Saved 176 steps | Cumulative: 80304
Completed Trajectory 250/500 | Saved 35 steps | Cumulative: 80339
Completed Trajectory 251/500 | Saved 41 steps | Cumulative: 80380
Completed Trajectory 252/500 | Saved 635 steps | Cumulative: 81015
Completed Trajectory 253/500 | Saved 986 steps | Cumulative: 82001
Completed Trajectory 254/500 | Saved 829 steps | Cumulative: 82830
Completed Trajectory 255/500 | Saved 412 steps | Cumulative: 83242
Completed Trajectory 256/500 | Saved 35 steps | Cumulative: 83277
Completed Trajectory 257/500 | Saved 989 steps | Cumulative: 84266
Completed Trajectory 258/500 | Saved 131 steps | Cumulative: 84397
Completed Trajectory 259/500 | Saved 727 steps | Cumulative: 85124
Completed Trajectory 260/500 | Saved 117 steps | Cumulative: 85241
Completed Trajectory 261/500 | Saved 40 steps | Cumulative: 85281
Completed Trajectory 262/500 | Saved 986 steps | Cumulative: 86267
Completed Trajectory 263/500 | Saved 213 steps | Cumulative: 86480
Completed Trajectory 264/500 | Saved 37 steps | Cumulative: 86517
Completed Trajectory 265/500 | Saved 34 steps | Cumulative: 86551
Completed Trajectory 266/500 | Saved 42 steps | Cumulative: 86593
Completed Trajectory 267/500 | Saved 985 steps | Cumulative: 87578
Completed Trajectory 268/500 | Saved 101 steps | Cumulative: 87679
Completed Trajectory 269/500 | Saved 249 steps | Cumulative: 87928
Completed Trajectory 270/500 | Saved 41 steps | Cumulative: 87969
Completed Trajectory 271/500 | Saved 985 steps | Cumulative: 88954
Completed Trajectory 272/500 | Saved 289 steps | Cumulative: 89243
Completed Trajectory 273/500 | Saved 42 steps | Cumulative: 89285
Completed Trajectory 274/500 | Saved 35 steps | Cumulative: 89320
Completed Trajectory 275/500 | Saved 643 steps | Cumulative: 89963
Completed Trajectory 276/500 | Saved 165 steps | Cumulative: 90128
Completed Trajectory 277/500 | Saved 986 steps | Cumulative: 91114
Completed Trajectory 278/500 | Saved 987 steps | Cumulative: 92101
Completed Trajectory 279/500 | Saved 37 steps | Cumulative: 92138
Completed Trajectory 280/500 | Saved 302 steps | Cumulative: 92440
Completed Trajectory 281/500 | Saved 256 steps | Cumulative: 92696
Completed Trajectory 282/500 | Saved 50 steps | Cumulative: 92746
Completed Trajectory 283/500 | Saved 84 steps | Cumulative: 92830
Completed Trajectory 284/500 | Saved 39 steps | Cumulative: 92869
Completed Trajectory 285/500 | Saved 44 steps | Cumulative: 92913
Completed Trajectory 286/500 | Saved 193 steps | Cumulative: 93106
Completed Trajectory 287/500 | Saved 988 steps | Cumulative: 94094
Completed Trajectory 288/500 | Saved 260 steps | Cumulative: 94354
Completed Trajectory 289/500 | Saved 617 steps | Cumulative: 94971
Completed Trajectory 290/500 | Saved 122 steps | Cumulative: 95093
Completed Trajectory 291/500 | Saved 328 steps | Cumulative: 95421
Completed Trajectory 292/500 | Saved 158 steps | Cumulative: 95579
Completed Trajectory 293/500 | Saved 770 steps | Cumulative: 96349
Completed Trajectory 294/500 | Saved 344 steps | Cumulative: 96693
Completed Trajectory 295/500 | Saved 107 steps | Cumulative: 96800
Completed Trajectory 296/500 | Saved 987 steps | Cumulative: 97787
Completed Trajectory 297/500 | Saved 988 steps | Cumulative: 98775
Completed Trajectory 298/500 | Saved 974 steps | Cumulative: 99749
Completed Trajectory 299/500 | Saved 41 steps | Cumulative: 99790
Completed Trajectory 300/500 | Saved 38 steps | Cumulative: 99828
Completed Trajectory 301/500 | Saved 296 steps | Cumulative: 100124
Completed Trajectory 302/500 | Saved 985 steps | Cumulative: 101109
Completed Trajectory 303/500 | Saved 786 steps | Cumulative: 101895
Completed Trajectory 304/500 | Saved 41 steps | Cumulative: 101936
Completed Trajectory 305/500 | Saved 196 steps | Cumulative: 102132
Completed Trajectory 306/500 | Saved 36 steps | Cumulative: 102168
Completed Trajectory 307/500 | Saved 986 steps | Cumulative: 103154
Completed Trajectory 308/500 | Saved 255 steps | Cumulative: 103409
Completed Trajectory 309/500 | Saved 755 steps | Cumulative: 104164
Completed Trajectory 310/500 | Saved 193 steps | Cumulative: 104357
Completed Trajectory 311/500 | Saved 40 steps | Cumulative: 104397
Completed Trajectory 312/500 | Saved 235 steps | Cumulative: 104632
Completed Trajectory 313/500 | Saved 788 steps | Cumulative: 105420
Completed Trajectory 314/500 | Saved 733 steps | Cumulative: 106153
Completed Trajectory 315/500 | Saved 150 steps | Cumulative: 106303
Completed Trajectory 316/500 | Saved 520 steps | Cumulative: 106823
Completed Trajectory 317/500 | Saved 187 steps | Cumulative: 107010
Completed Trajectory 318/500 | Saved 695 steps | Cumulative: 107705
Completed Trajectory 319/500 | Saved 100 steps | Cumulative: 107805
Completed Trajectory 320/500 | Saved 975 steps | Cumulative: 108780
Completed Trajectory 321/500 | Saved 205 steps | Cumulative: 108985
Completed Trajectory 322/500 | Saved 150 steps | Cumulative: 109135
Completed Trajectory 323/500 | Saved 258 steps | Cumulative: 109393
Completed Trajectory 324/500 | Saved 302 steps | Cumulative: 109695
Completed Trajectory 325/500 | Saved 986 steps | Cumulative: 110681
Completed Trajectory 326/500 | Saved 316 steps | Cumulative: 110997
Completed Trajectory 327/500 | Saved 36 steps | Cumulative: 111033
Completed Trajectory 328/500 | Saved 187 steps | Cumulative: 111220
Completed Trajectory 329/500 | Saved 986 steps | Cumulative: 112206
Completed Trajectory 330/500 | Saved 898 steps | Cumulative: 113104
Completed Trajectory 331/500 | Saved 565 steps | Cumulative: 113669
Completed Trajectory 332/500 | Saved 987 steps | Cumulative: 114656
Completed Trajectory 333/500 | Saved 358 steps | Cumulative: 115014
Completed Trajectory 334/500 | Saved 178 steps | Cumulative: 115192
Completed Trajectory 335/500 | Saved 415 steps | Cumulative: 115607
Completed Trajectory 336/500 | Saved 182 steps | Cumulative: 115789
Completed Trajectory 337/500 | Saved 767 steps | Cumulative: 116556
Completed Trajectory 338/500 | Saved 45 steps | Cumulative: 116601
Completed Trajectory 339/500 | Saved 988 steps | Cumulative: 117589
Completed Trajectory 340/500 | Saved 326 steps | Cumulative: 117915
Completed Trajectory 341/500 | Saved 987 steps | Cumulative: 118902
Completed Trajectory 342/500 | Saved 37 steps | Cumulative: 118939
Completed Trajectory 343/500 | Saved 954 steps | Cumulative: 119893
Completed Trajectory 344/500 | Saved 291 steps | Cumulative: 120184
Completed Trajectory 345/500 | Saved 38 steps | Cumulative: 120222
Completed Trajectory 346/500 | Saved 41 steps | Cumulative: 120263
Completed Trajectory 347/500 | Saved 215 steps | Cumulative: 120478
Completed Trajectory 348/500 | Saved 37 steps | Cumulative: 120515
Completed Trajectory 349/500 | Saved 232 steps | Cumulative: 120747
Completed Trajectory 350/500 | Saved 648 steps | Cumulative: 121395
Completed Trajectory 351/500 | Saved 90 steps | Cumulative: 121485
Completed Trajectory 352/500 | Saved 391 steps | Cumulative: 121876
Completed Trajectory 353/500 | Saved 35 steps | Cumulative: 121911
Completed Trajectory 354/500 | Saved 986 steps | Cumulative: 122897
Completed Trajectory 355/500 | Saved 568 steps | Cumulative: 123465
Completed Trajectory 356/500 | Saved 464 steps | Cumulative: 123929
Completed Trajectory 357/500 | Saved 789 steps | Cumulative: 124718
Completed Trajectory 358/500 | Saved 987 steps | Cumulative: 125705
Completed Trajectory 359/500 | Saved 227 steps | Cumulative: 125932
Completed Trajectory 360/500 | Saved 270 steps | Cumulative: 126202
Completed Trajectory 361/500 | Saved 370 steps | Cumulative: 126572
Completed Trajectory 362/500 | Saved 39 steps | Cumulative: 126611
Completed Trajectory 363/500 | Saved 37 steps | Cumulative: 126648
Completed Trajectory 364/500 | Saved 335 steps | Cumulative: 126983
Completed Trajectory 365/500 | Saved 154 steps | Cumulative: 127137
Completed Trajectory 366/500 | Saved 106 steps | Cumulative: 127243
Completed Trajectory 367/500 | Saved 827 steps | Cumulative: 128070
Completed Trajectory 368/500 | Saved 39 steps | Cumulative: 128109
Completed Trajectory 369/500 | Saved 156 steps | Cumulative: 128265
Completed Trajectory 370/500 | Saved 327 steps | Cumulative: 128592
Completed Trajectory 371/500 | Saved 269 steps | Cumulative: 128861
Completed Trajectory 372/500 | Saved 986 steps | Cumulative: 129847
Completed Trajectory 373/500 | Saved 42 steps | Cumulative: 129889
Completed Trajectory 374/500 | Saved 191 steps | Cumulative: 130080
Completed Trajectory 375/500 | Saved 208 steps | Cumulative: 130288
Completed Trajectory 376/500 | Saved 41 steps | Cumulative: 130329
Completed Trajectory 377/500 | Saved 181 steps | Cumulative: 130510
Completed Trajectory 378/500 | Saved 312 steps | Cumulative: 130822
Completed Trajectory 379/500 | Saved 41 steps | Cumulative: 130863
Completed Trajectory 380/500 | Saved 246 steps | Cumulative: 131109
Completed Trajectory 381/500 | Saved 213 steps | Cumulative: 131322
Completed Trajectory 382/500 | Saved 37 steps | Cumulative: 131359
Completed Trajectory 383/500 | Saved 40 steps | Cumulative: 131399
Completed Trajectory 384/500 | Saved 988 steps | Cumulative: 132387
Completed Trajectory 385/500 | Saved 618 steps | Cumulative: 133005
Completed Trajectory 386/500 | Saved 37 steps | Cumulative: 133042
Completed Trajectory 387/500 | Saved 35 steps | Cumulative: 133077
Completed Trajectory 388/500 | Saved 108 steps | Cumulative: 133185
Completed Trajectory 389/500 | Saved 215 steps | Cumulative: 133400
Completed Trajectory 390/500 | Saved 861 steps | Cumulative: 134261
Completed Trajectory 391/500 | Saved 39 steps | Cumulative: 134300
Completed Trajectory 392/500 | Saved 975 steps | Cumulative: 135275
Completed Trajectory 393/500 | Saved 802 steps | Cumulative: 136077
Completed Trajectory 394/500 | Saved 984 steps | Cumulative: 137061
Completed Trajectory 395/500 | Saved 839 steps | Cumulative: 137900
Completed Trajectory 396/500 | Saved 33 steps | Cumulative: 137933
Completed Trajectory 397/500 | Saved 32 steps | Cumulative: 137965
Completed Trajectory 398/500 | Saved 151 steps | Cumulative: 138116
Completed Trajectory 399/500 | Saved 682 steps | Cumulative: 138798
Completed Trajectory 400/500 | Saved 986 steps | Cumulative: 139784
Completed Trajectory 401/500 | Saved 595 steps | Cumulative: 140379
Completed Trajectory 402/500 | Saved 39 steps | Cumulative: 140418
Completed Trajectory 403/500 | Saved 195 steps | Cumulative: 140613
Completed Trajectory 404/500 | Saved 41 steps | Cumulative: 140654
Completed Trajectory 405/500 | Saved 844 steps | Cumulative: 141498
Completed Trajectory 406/500 | Saved 533 steps | Cumulative: 142031
Completed Trajectory 407/500 | Saved 206 steps | Cumulative: 142237
Completed Trajectory 408/500 | Saved 367 steps | Cumulative: 142604
Completed Trajectory 409/500 | Saved 303 steps | Cumulative: 142907
Completed Trajectory 410/500 | Saved 35 steps | Cumulative: 142942
Completed Trajectory 411/500 | Saved 32 steps | Cumulative: 142974
Completed Trajectory 412/500 | Saved 130 steps | Cumulative: 143104
Completed Trajectory 413/500 | Saved 730 steps | Cumulative: 143834
Completed Trajectory 414/500 | Saved 40 steps | Cumulative: 143874
Completed Trajectory 415/500 | Saved 989 steps | Cumulative: 144863
Completed Trajectory 416/500 | Saved 994 steps | Cumulative: 145857
Completed Trajectory 417/500 | Saved 987 steps | Cumulative: 146844
Completed Trajectory 418/500 | Saved 216 steps | Cumulative: 147060
Completed Trajectory 419/500 | Saved 987 steps | Cumulative: 148047
Completed Trajectory 420/500 | Saved 35 steps | Cumulative: 148082
Completed Trajectory 421/500 | Saved 36 steps | Cumulative: 148118
